start_time,v
1428584400000,245.45825305441403
1428588000000,245.2939369397027
1428591600000,245.1851717197156
1428595200000,245.13026164327837
1428598800000,245.5496403794677
1428602400000,245.36711227916936
1428606000000,243.22849993329345
1428609600000,243.4765324783339
1428613200000,242.9879666774877
1428616800000,243.56852434201448
1428620400000,244.61592088577717
1428624000000,243.9053075588468
1428627600000,243.19129540988712
1428631200000,242.2496562767284
1428634800000,242.13729503351368
1428638400000,242.3740937234054
1428642000000,242.31436665572565
1428645600000,239.6914380991064
1428649200000,240.8630268797893
1428652800000,239.53379239972568
1428656400000,238.6282918357155
1428660000000,239.49481868218072
1428663600000,238.25734209528756
1428667200000,234.09413388811817
1428670800000,235.3553586803646
1428674400000,236.18970472554588
1428678000000,233.8093043940931
1428681600000,237.6668046219808
1428685200000,237.19964382379516
1428688800000,235.30449783498307
1428692400000,236.3212040562021
1428696000000,236.4094292288763
1428699600000,235.48122124081465
1428703200000,235.96873877335585
1428706800000,236.51085470525223
1428710400000,236.57134314333803
1428714000000,237.81779525969927
1428717600000,238.2743672921102
1428721200000,237.06287855734465
1428724800000,237.1666511133057
1428728400000,235.25266974572128
1428732000000,235.45759314859865
1428735600000,235.79859840806597
1428739200000,236.6352695036327
1428742800000,234.6184284077254
1428746400000,235.0508367937123
1428750000000,234.67188696377497
1428753600000,235.53767589412283
1428757200000,236.2738469696159
1428760800000,237.71248752865395
1428764400000,238.0353095716519
1428768000000,237.82442643942804
1428771600000,237.81060098493157
1428775200000,237.852354376102
1428778800000,236.9774641072972
1428782400000,237.9936569195553
1428786000000,236.3183896763484
1428789600000,236.58321662719723
1428793200000,236.77240091579887
1428796800000,237.9704213341384
1428800400000,237.72721870330344
1428804000000,237.7042945052618
1428807600000,237.3749960454686
1428811200000,237.09008940711283
1428814800000,237.33613313071655
1428818400000,237.42300856740948
1428822000000,237.16060085134615
1428825600000,236.04484029315012
1428829200000,236.67433237158616
1428832800000,236.98642791080312
1428836400000,236.72105076450111
1428840000000,236.6993177417788
1428843600000,237.006023913441
1428847200000,237.294983045662
1428850800000,236.60151525090205
1428854400000,236.9760580955177
1428858000000,237.48409621826897
1428861600000,237.29350051369707
1428865200000,237.03800971821735
1428868800000,237.0912054069603
1428872400000,236.7343862325559
1428876000000,237.490344601774
1428879600000,236.47709775061168
1428883200000,236.78910380633732
1428886800000,236.94228821258375
1428890400000,236.88757303048047
1428894000000,237.40813503944636
1428897600000,237.0064031724017
1428901200000,236.8611455084015
1428904800000,236.30524655558747
1428908400000,235.86701867438975
1428912000000,235.5996703200664
1428915600000,235.7267215575559
1428919200000,235.77052843576877
1428922800000,234.3020689063156
1428926400000,234.5574194681455
1428930000000,235.45241939092583
1428933600000,234.6826816739421
1428937200000,234.31596754252936
1428940800000,234.87980840034007
1428944400000,235.34035674749344
1428948000000,226.79556772599364
1428951600000,225.20992983176052
1428955200000,223.95440648930267
1428958800000,222.4115001162586
1428962400000,226.66171582866272
1428966000000,224.97651532966492
1428969600000,224.9087047441001
1428973200000,225.0262580682866
1428976800000,224.4825992730726
1428980400000,223.94203074223535
1428984000000,223.52920216869455
1428987600000,220.5256718731295
1428991200000,218.48003711035895
