start_time,date_x,price_usd_adj_close,price_usd_close,price_usd_high,price_usd_low,price_usd_open,date_y,volume,returns,log_returns,volatility,active_addresses,address_growth,network_velocity,hash_rate,hash_rate_growth
1430697600000,2015-05-04,0.412399908898,42.0,42.0,37.98,38.0,2015-05-04,765,,,,1246014.42018554,,21.64371882,3.010048158231527e+17,
1430784000000,2015-05-05,0.540047499747,55.0,94.86,55.0,55.0,2015-05-05,435,0.30952380952380953,0.26966356694910276,,1205376.60023041,-0.03261424530630941,21.67851287,3.6329455273681024e+17,0.20693933664587671
1430870400000,2015-05-06,0.540047499747,55.0,55.0,55.0,55.0,2015-05-06,125,0.0,0.0,,1179638.59710918,-0.02135266531332214,21.70751242,3.8154541789360384e+17,0.05023710105010992
1430956800000,2015-05-07,0.392761817998,40.0,66.0,40.0,65.0,2015-05-07,2844,-0.2727272727272727,-0.3184537311185349,,1302434.25215719,0.10409599630677824,21.73539174,3.3627095169410106e+17,-0.1186607519740358
1431043200000,2015-05-08,0.481133227048,49.0,59.0,49.0,50.0,2015-05-08,14807,0.2250000000000001,0.2029408439966902,,1090833.25404979,-0.1624657810994532,21.71134485,3.523836500449639e+17,0.04791581987587268
1431302400000,2015-05-11,0.490952272498,50.0,57.95,50.0,57.95,2015-05-11,2756,0.020408163265306145,0.020202707317519497,,1181861.58695766,0.08344843959415549,21.74194407,3.709772709936865e+17,0.05276527712437873
1431388800000,2015-05-12,0.490461320225,49.95,50.01,49.0,50.01,2015-05-12,2286,-0.0009999999999998899,-0.001000500333583343,,1049683.90828445,-0.11183854364322043,21.771862,3.568906731491158e+17,-0.03797159272544892
1431475200000,2015-05-13,0.481133227048,49.0,49.0,49.0,49.0,2015-05-13,327,-0.019019019019019034,-0.019202206983936154,,1112738.21233466,0.06006980153983976,21.79658253,3.842356618424772e+17,0.0766200709367828
1431561600000,2015-05-14,0.441857045248,45.0,49.0,44.0,49.0,2015-05-14,19894,-0.08163265306122447,-0.08515780834030684,,1041719.81015677,-0.06382309998043911,21.8131771,3.643277969702717e+17,-0.05181160118439765
1431648000000,2015-05-15,0.373123727098,38.0,45.0,38.0,45.0,2015-05-15,2320,-0.15555555555555556,-0.16907633004393396,,942358.68571362,-0.09538181329987094,21.81573442,3.4711330684352544e+17,-0.04725000472075125
1431907200000,2015-05-18,0.266587083966,27.15,38.0,27.15,38.0,2015-05-18,4950,-0.28552631578947374,-0.3362091133464413,,939437.22176944,-0.0031001613169912012,21.86387792,3.518003013610104e+17,0.013502779712210256
1431993600000,2015-05-19,0.284752318049,29.0,29.5,27.9,28.0,2015-05-19,4308,0.06813996316758764,0.06591878360652981,,1194271.89333394,0.27126311972663397,21.90565464,3.111997738590104e+17,-0.11540788153088177
1432080000000,2015-05-20,0.309299931673,31.5,32.25,29.25,29.5,2015-05-20,4859,0.0862068965517242,0.08269171584511303,,1094164.81749264,-0.08382268426483697,21.8726773,3.577834575521133e+17,0.14969060907546705
1432166400000,2015-05-21,0.314209454398,32.0,32.0,30.5,31.0,2015-05-21,2882,0.015873015873015817,0.015748356968139365,,947949.06553376,-0.13363229160844736,21.88184381,3.731423571661376e+17,0.042927919918676505
1432252800000,2015-05-22,0.313227549853,31.9,33.1,31.9,32.0,2015-05-22,4971,-0.0031250000000000444,-0.003129893008927631,,1302718.09834124,0.37424904534055425,21.91409093,3.325416761217863e+17,-0.10880748396589635
1432598400000,2015-05-26,0.314209454398,32.0,32.0,31.92,31.92,2015-05-26,1148,0.0031347962382446415,0.003129893008927631,,1009201.84028888,-0.22531064735041006,21.88481296,3.487277741509628e+17,0.048673893203234675
1432684800000,2015-05-27,0.299971838496,30.55,31.51,30.55,31.51,2015-05-27,404,-0.04531249999999998,-0.046371217182122226,,1151914.8812966,0.1414117922801934,21.893787,3.376771701454018e+17,-0.03168833922811454
1432771200000,2015-05-28,0.324028499848,33.0,33.0,30.5,30.55,2015-05-28,1140,0.0801963993453354,0.07714287584887591,,1009780.77031102,-0.12338942164337119,21.89967028,3.195489949544578e+17,-0.053684929849234786
1432857600000,2015-05-29,0.324028499848,33.0,33.0,31.95,31.95,2015-05-29,463,0.0,0.0,,1079194.47060875,0.06874135687526506,21.9224758,3.742593699460904e+17,0.17121122536914846
1433116800000,2015-06-01,0.300953743041,30.65,33.0,30.65,33.0,2015-06-01,1046,-0.07121212121212128,-0.07387489908425993,,1508338.92557009,0.3976525701797464,21.98383165,3.1485864590731245e+17,-0.15871539581583272
1433203200000,2015-06-02,0.286225174866,29.15,30.65,28.52,30.65,2015-06-02,1408,-0.04893964110929849,-0.05017774958571897,0.13778932192687068,1423864.34935346,-0.0560050362584803,22.01219991,3.5611495162525306e+17,0.13103119845749944
1433289600000,2015-06-03,0.284752318049,29.0,30.0,29.0,30.0,2015-06-03,414,-0.005145797598627766,-0.0051590828100271935,0.11573066031807065,1368342.7879374,-0.038993575084080745,22.03891967,3.3323606448076794e+17,-0.06424579209625836
1433376000000,2015-06-04,0.286716127139,29.2,29.25,29.2,29.25,2015-06-04,1926,0.006896551724137945,0.006872879287761702,0.11581778055373831,1238335.24917246,-0.09501094309921376,22.04862175,3.350477115745851e+17,0.005436527695884319
