timestamp,symbol,type,quantity,price,value
2025-04-12 02:07:42.991039,BTC,sell,0.0,9.75,0.0
2025-04-12 02:07:42.992722,BTC,sell,0.0,10.33,0.0
2025-04-12 02:07:42.993747,BTC,sell,0.0,9.87,0.0
2025-04-12 02:07:42.995037,BTC,sell,0.0,9.75,0.0
2025-04-12 02:07:42.996195,BTC,sell,0.0,9.6,0.0
2025-04-12 02:07:42.997697,BTC,sell,0.0,9.74,0.0
2025-04-12 02:07:42.998743,BTC,sell,0.0,9.47,0.0
2025-04-12 02:07:42.999637,BTC,sell,0.0,9.31,0.0
2025-04-12 02:07:43.000563,BTC,sell,0.0,9.54,0.0
2025-04-12 02:07:43.001421,BTC,sell,0.0,9.42,0.0
2025-04-12 02:07:43.002335,BTC,sell,0.0,9.87,0.0
2025-04-12 02:07:43.003300,BTC,sell,0.0,10.08,0.0
2025-04-12 02:07:43.004201,BTC,sell,0.0,10.49,0.0
2025-04-12 02:07:43.005997,BTC,sell,0.0,10.38,0.0
2025-04-12 02:07:43.007650,BTC,sell,0.0,12.15,0.0
2025-04-12 02:07:43.008752,BTC,sell,0.0,12.53,0.0
2025-04-12 02:07:43.009710,BTC,sell,0.0,12.35,0.0
2025-04-12 02:07:43.010576,BTC,sell,0.0,12.225,0.0
2025-04-12 02:07:43.011475,BTC,sell,0.0,12.815,0.0
2025-04-12 02:07:43.012370,BTC,sell,0.0,13.34,0.0
2025-04-12 02:07:43.013221,BTC,buy,0.0,13.2,0.0
2025-04-12 02:07:43.014150,BTC,buy,0.0,13.84,0.0
2025-04-12 02:07:43.015021,BTC,buy,0.0,14.44,0.0
2025-04-12 02:07:43.015918,BTC,buy,0.0,13.06,0.0
2025-04-12 02:07:43.016765,BTC,buy,0.0,13.69,0.0
2025-04-12 02:07:43.017672,BTC,buy,0.0,12.55,0.0
2025-04-12 02:07:43.018544,BTC,buy,0.0,13.1065,0.0
2025-04-12 02:07:43.019410,BTC,buy,0.0,13.11,0.0
2025-04-12 02:07:43.020272,BTC,buy,0.0,13.4,0.0
2025-04-12 02:07:43.021730,BTC,buy,0.0,14.75,0.0
2025-04-12 02:07:43.023057,BTC,buy,0.0,14.39,0.0
2025-04-12 02:07:43.024103,BTC,buy,0.0,13.71,0.0
2025-04-12 02:07:43.025268,BTC,buy,0.0,14.16,0.0
