Date,NetflowVolume
1.51476E+12,-11233.62241
1.51485E+12,21057.110427312844
1.51494E+12,5197.405301833569
1.51502E+12,3107.408822667814
1.51511E+12,17630.96413172988
1.5152E+12,-11571.8732
1.51528E+12,-7152.441453
1.51537E+12,-662.4216692
1.51546E+12,2356.908796240343
1.51554E+12,16602.129431420122
1.51563E+12,-3062.58741
1.51572E+12,3720.907471540821
1.5158E+12,6100.245828991567
1.51589E+12,-7015.082111
1.51597E+12,12025.697418250667
1.51606E+12,13130.37821291844
1.51615E+12,22726.697656290868
1.51623E+12,20397.894180373143
1.51632E+12,-12792.86375
1.51641E+12,6745.174404747711
1.51649E+12,-5126.470995
1.51658E+12,-1355.823818
1.51667E+12,293.94033665649476
1.51675E+12,1343.316856923091
1.51684E+12,9698.513212017788
1.51692E+12,-3793.875348
1.51701E+12,-2504.21651
1.5171E+12,487.9409048005036
1.51718E+12,-3224.730968
1.51727E+12,-3343.225975
1.51736E+12,1810.7986200704909
1.51744E+12,25836.400389980787
1.51753E+12,44224.78695398118
1.51762E+12,-9048.144033
1.5177E+12,23744.331575385193
1.51779E+12,31708.34213
1.51788E+12,19947.93246653062
1.51796E+12,-4941.704241
1.51805E+12,-6659.957345
1.51813E+12,4118.539691
1.51822E+12,-1566.621419
1.51831E+12,5847.929074349391
1.51839E+12,-10627.27413
1.51848E+12,-1205.768806
1.51857E+12,-2748.760651
1.51865E+12,-2203.344946
1.51874E+12,-2577.948702
1.51883E+12,-1018.574599
1.51891E+12,-2166.421033
1.519E+12,-2438.720687
1.51908E+12,14812.081849260105
1.51917E+12,-2731.525881
1.51926E+12,25499.904541337615
1.51934E+12,-6835.46581
1.51943E+12,14798.255515573035
1.51952E+12,4367.626313455861
1.5196E+12,6050.752202070253
1.51969E+12,-2114.092967
1.51978E+12,2633.960179840775
1.51986E+12,16628.72589365767
1.51995E+12,4109.829523590517
1.52004E+12,-3650.712931
1.52012E+12,2734.8497670462893
1.52021E+12,-38209.04592
1.52029E+12,2238.5533290394524
1.52038E+12,1406.999907
1.52047E+12,-3717.444581
1.52055E+12,-407.1031511
1.52064E+12,-1883.100336
1.52073E+12,1072.0673510864217
1.52081E+12,3850.994668941974
1.5209E+12,-9745.888328
1.52099E+12,3811.267850505966
1.52107E+12,7180.010049456032
1.52116E+12,3555.8407602529114
1.52124E+12,124.67121383304038
1.52133E+12,16844.571260870434
1.52142E+12,11913.664166598202
1.5215E+12,1780.282615004522
1.52159E+12,5637.714108013737
1.52168E+12,-9145.519818
1.52176E+12,790.4056137601146
1.52185E+12,2269.3824873433114
1.52194E+12,-2020.668284
1.52202E+12,3350.5575687065357
1.52211E+12,322.70693500436755
1.5222E+12,-804.1335491
1.52228E+12,10725.10632464818
1.52237E+12,10040.824749744655
1.52245E+12,-71.23083424
1.52254E+12,581.5072215869877
1.52263E+12,4651.559848240737
1.52271E+12,6394.666672500127
1.5228E+12,1786.9477483014052
1.52289E+12,3705.074041
1.52297E+12,-6491.579703
1.52306E+12,-990.6175792
1.52315E+12,731.2171793030211
1.52323E+12,-6962.039762
1.52332E+12,-3404.852958
1.5234E+12,12362.681240866945
1.52349E+12,14364.212583901448
1.52358E+12,-9456.064555
1.52366E+12,7857.160338541216
1.52375E+12,3211.1452468850875
1.52384E+12,-3473.50842
1.52392E+12,-9590.452817
1.52401E+12,3154.733592
1.5241E+12,4131.337158911883
1.52418E+12,-9835.221128
1.52427E+12,2777.438148044086
1.52436E+12,-6694.290281
1.52444E+12,5918.7749389403325
1.52453E+12,7406.060000318175
1.52461E+12,3348.067323256997
1.5247E+12,2960.3385620417685
1.52479E+12,2711.6519660701233
1.52487E+12,4343.762332563943
1.52496E+12,3633.180787122663
1.52505E+12,205.97374535841664
1.52513E+12,-4988.836748
