start_time,open,high,low,close,volume
1.56228E+12,0.00449943,0.00461012,0.00356207,0.00387018,1928297660
1.56237E+12,0.0038834,0.00395293,0.00336655,0.0035,1010744287
1.56246E+12,0.00350456,0.00366312,0.00339555,0.0035377,530613992
1.56254E+12,0.00355372,0.00357569,0.0034,0.00347218,308445688
1.56263E+12,0.00347928,0.0035906,0.00336751,0.00346072,253375582
1.56272E+12,0.00346382,0.00354025,0.0032441,0.00333876,241274866
1.5628E+12,0.00332916,0.00333649,0.00308874,0.00320788,202811394
1.56289E+12,0.00321211,0.00336124,0.00315872,0.0032622,228622573
1.56298E+12,0.00326684,0.00327427,0.00312417,0.00325906,110731940
1.56306E+12,0.00323574,0.00326567,0.00289651,0.00291744,216658454
1.56315E+12,0.00291744,0.00314073,0.00280111,0.0030712,220027648
1.56324E+12,0.0030624,0.003093,0.00273042,0.00279991,159080438
1.56332E+12,0.00279643,0.00298779,0.00270576,0.0028822,320691294
1.56341E+12,0.0028663,0.00312698,0.0027797,0.0031065,263423204
1.56349E+12,0.00310976,0.00311421,0.00292118,0.0030232,101195703
1.56358E+12,0.00301648,0.00316098,0.0030015,0.00308178,106012025
1.56367E+12,0.00307612,0.00312925,0.00298205,0.0030468,59882988
1.56375E+12,0.00305055,0.0030816,0.00291246,0.00295262,92581872
1.56384E+12,0.00295222,0.00295222,0.00281371,0.00281856,161810410
1.56393E+12,0.00281947,0.0028789,0.00275981,0.0028741,68490381
1.56401E+12,0.00285773,0.00295224,0.0028476,0.0028656,149944114
1.5641E+12,0.00286585,0.00290824,0.00282024,0.00288248,29517748
1.56419E+12,0.00289202,0.00296238,0.00275044,0.0028047,86758314
1.56427E+12,0.00279422,0.00281425,0.002716,0.00279041,49225120
1.56436E+12,0.00278408,0.00287781,0.00275797,0.0027663,65013586
1.56444E+12,0.0027599,0.00288,0.00274298,0.00279073,60008976
1.56453E+12,0.0027949,0.00288013,0.0027889,0.0028583,58120004
1.56462E+12,0.00286247,0.0030617,0.0028248,0.0029004,85256838
1.5647E+12,0.0029004,0.00293159,0.002861,0.0028996,64329108
1.56479E+12,0.0028951,0.00294947,0.00287726,0.0028994,54942112
1.56488E+12,0.0028999,0.0030075,0.0028424,0.00292951,88247046
1.56496E+12,0.0029269,0.0031998,0.0029264,0.00304262,213937390
1.56505E+12,0.00304438,0.00308481,0.00290803,0.0029557,128970146
1.56514E+12,0.00295601,0.00304112,0.00287142,0.00298918,116634874
1.56522E+12,0.00299479,0.00299479,0.00284663,0.00296719,72936578
1.56531E+12,0.00297755,0.00297755,0.00284108,0.00291766,53069425
1.5654E+12,0.00292577,0.00294169,0.00280187,0.00285,40358430
1.56548E+12,0.00284903,0.00289628,0.00282813,0.00288419,48121732
